country,говорят по-русски,языки,осадки,солнце,t зима,"
t лето
",плотность населения,религия,прожиточный минимум,средние зарплаты, индекс уровня образования,индекс демократии,ИЧР,% иммигрантов от населения,индекс общественного спокойствия,средняя стоимость аренды жилья,экология,бесплатное высшее образование,Любят велики,рядом горы,рядом море,вино,пиво,налоговые послабления,количество городов миллионников,близость к горячим точкам,развитость туризма,логистика в стране,шенгенская зона,стоимость обществ тр,необходимость изучения нового языка,языковая группа,однополые браки,минимальная сумма переезда,доступность жилья,востребованные профессии,срок для пмж
Австрия,"0,3","немецкий, венгерский, словенский",500 - 3000 мм,1900-2100,-2,21,"102,1",,1010,2650,0.82,8.41,0.908,17.5,1.274,,86.64,,,,,,,,1,,,,1,,,,,,,,
Белоруссия,92,,600-700,1730-1950,-5,18,"47,89",,,415,0.834,3.54,0.808,11.4,2.112,,82.3,,,,,,,,1,,,,0,,,,,,,,
Бельгия,,"нидерландский, французский, немецкий",800,1560,0,18,368,,1030,2010,0.841,7.77,0.916,12.3,1.56,,80.15,,,,,,,,,,,,1,,,,,,,,
Великобритания,"0,5",английский,600-3000,300-700,7,15,246,,1087,2780,0.896,8.36,0.922,13.2,1.876,,87.38,,,,,,,,2,,,,0,,,,,,,,
Венгрия,"0,1",венгерский,500-1000,1900-2300,2,26,106,католицизм,,760,0.834,6.72,0.838,4.6,1.531,,84.6,,,,,,,,,,,,1,,,,,,,,
Германия,"4,2",немецкий,600-1500,800-1300,1,19,227,,1240,2958,0.914,8.63,0.925,14.9,1.531,,84.26,,+,,,,,,4,,,,1,,,,,,,,
Греция,"0,3",греческий,300-450,6800-7200,12,33,81,православие,,890,0.83,7.23,0.87,11.3,2.02,,85.81,,,,,,,,1,,,,1,,,,,,,,
Дания,"0,1",датский,600-800,1450-1700,0,18,"126,4",лютеранство,,2600,0.923,9.2,0.929,10.1,1.353,,89.21,,+,,,,,,,,,,1,,,,,,,,
Испания,,испанский,300,6200-6900,0,27,92,светское,645,1907,0.818,8.3,0.891,12.7,1.678,,88.91,,+,,,,,,2,,,,1,,,,,,,,
Италия,,итальянский,660-1055,6200-6900,1,22,"199,2",,855,2350,0.814,7.98,0.88,9.7,1.766,,84.48,,,,,,,,2,,,,1,,,,,,,,
Кипр,"2,5","греческий, турецкий",300-400,6200-6900,10,33,"129,5",,,1460,0.786,7.65,0.869,16.8,1.913,,80.4,,,,,,,,,,,,0,,,,,,,,
Латвия,"81,2",латышский,500-800,1790,-3,19,"29,95",,,622,0.835,7.31,0.847,13.4,1.689,,85.71,,,,,,,,,,,,1,,,,,,,,
Литва,78,литовский,600-800,1850,-5,17,49,,,630,0.882,7.47,0.858,4.7,1.749,,85.49,,,,,,,,,,,,1,,,,,,,,
Нидерланды,,нидерландский,650-750,700-1000,2,17,405,,1080,2879,0.897,8.8,0.931,11.7,1.574,,82.03,,,,,,,,,,,,1,,,,,,,,
Норвегия,"0,3",норвежский,500-1500,800-1200,-15,10,"13,1",,,3781,0.916,9.93,0.953,14.2,1.519,,86.9,,"60,7%",,,,,,,,,,1,,,,,,,,
Польша,"0,2",польский,500-800,720-1200,-4,19,123,,,798,0.852,6.83,0.865,1.6,1.727,,81.26,,,,,,,,1,,,,1,,,,,,,,
Португалия,,португальский,400-800,1000-2500,7,25,111,,,1203,0.756,7.86,0.847,8.1,1.318,,88.63,,,,,,,,,,,,1,,,,,,,,
Словакия,"0,03","словацкий, венгерский",500-800,1400-2000,-1,21,111,,,712,0.823,7.29,0.855,3.3,1.568,,85.42,,,,,,,,,,,,1,,,,,,,,
Словения,,"словенский, итальянский, венгерский",800-1200,1515-2335,-2,20,"101,8",,,715,0.886,7.51,0.896,11.4,1.396,,88.98,,,,,,,,,,,,1,,,,,,,,
США,"0,3",английский,,,,,33,светское,,3120,0.9,7.98,0.924,14.5,2.3,,"84,72",,,,,,,,9,,,,0,,,,,,,,
Турция,,турецкий,1000-2500,6200-6900,5,30,97,светское,,996,0.668,5.04,0.791,3.8,2.898,,67.68,,,,,,,,6,,,,0,,,,,,,,
Украина,83,украинский,700-1500,3060,-5,20,74,светское,,300,0.803,5.7,0.751,10.8,3.113,,79.69,,,,,,,,3,,,,0,,,,,,,,
Финляндия,1,"финский, шведский",600-700,700-1000,-4,17,16,лютеранство,1170,2923,0.847,9.03,0.92,5.7,1.506,,90.68,,"60,4%",,,,,,,,,,1,,,,,,,,
Франция,,французкий,600-1000,1800-2000,8,25,103,,1254,2465,0.839,7.92,0.901,12.1,1.909,,88.2,,,,,,,,1,,,,1,,,,,,,,
Хорватия,"0,05",хорватский,800-1500,6200-7000,0,25,"73,4",,,620,0/798,6.75,0.831,13.6,1.639,,86.98,,,,,,,,,,,,0,,,,,,,,
Чехия,"0,3",чешский,500-700,1300-1900,-2,18,133,,,980,0.878,7.82,0.88,3.8,1.381,,84.67,,,,,,,,1,,,,1,,,,,,,,
Швейцария,.,"        немецкий, французский, итальянский, романшский",850-1500,1300-2000,-10,19,207,,,3855,0.891,9.09,0.944,29.4,1.407,,86.93,,,,,,,,,,,,1,,,,,,,,
Швеция,,шведский,400-1000,800-1100,-12,14,22,,,3352,0.855,9.39,0.933,16.8,1.502,,90.43,,,,,,,,,,,,1,,,,,,,,
Эстония,"29,6",эстонский,500-700,1600-1900,-2,17,28,,,978,0.877,7.85,0.871,15.4,1.732,,88.59,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,ссылка,,,,,сколько людей кто переезжает,,,,,,,,,,,,,
,,,,,-0.5555555556,,,,,,Индекс измеряет достижения страны с точки зрения достигнутого уровня образования её населения,https://gtmarket.ru/ratings/democracy-index/info,,,,,,,,,,,,,,,,,,,,,,,,,
Россия,,,,,,,,,,,0.816,3.24,0.816,8.1,3.16,,,83.52,,,,,,,16,,,,,,,,,,,,
